id,partner1_id,partner2_id,ekteskapsdato,ekteskapssted,skilsmisse_dato,ekteskapstype,notater
@59495896@,@72369188@,@25720698@,,,,ekteskap,Importert fra GEDCOM (Family ID: @59495896@)
@55165845@,@15665926@,@13752120@,,,,ekteskap,Importert fra GEDCOM (Family ID: @55165845@)
@85616102@,@19966716@,@73308398@,,,,ekteskap,Importert fra GEDCOM (Family ID: @85616102@)
@65611090@,@61648024@,@50490507@,,,,ekteskap,Importert fra GEDCOM (Family ID: @65611090@)
@96126520@,@38693398@,@20507824@,,,,ekteskap,Importert fra GEDCOM (Family ID: @96126520@)
@61033408@,@52341038@,@20105108@,,,,ekteskap,Importert fra GEDCOM (Family ID: @61033408@)
